Temperature,Humidity,CO2,Light Intensity,Harmful
30.3,77.31,550.81,6104.0,1
30.32,77.32,550.78,6121.0,1
30.3,77.33,550.5,6121.0,1
30.32,77.28,550.7,6154.0,1
30.31,77.24,550.55,6145.0,1
30.32,77.28,550.45,6161.0,1
30.32,77.26,550.37,6152.0,1
30.3,77.22,549.98,6168.0,1
30.31,77.24,549.85,6185.0,1
30.31,77.22,549.55,6176.0,1
30.34,77.21,549.47,6200.0,1
30.32,77.21,549.23,6224.0,1
30.34,77.22,549.43,6231.0,1
30.32,77.2,549.36,6247.0,1
30.34,77.22,549.47,6264.0,1
30.32,77.23,549.28,6238.0,1
30.35,77.2,549.53,6255.0,1
30.32,77.15,548.87,6255.0,1
30.34,77.17,548.93,6255.0,1
30.34,77.17,549.3,6271.0,1
30.35,77.16,549.15,6271.0,1
30.34,77.06,549.02,6271.0,1
30.35,77.04,548.88,6271.0,1
30.35,77.01,548.88,6288.0,1
30.34,77.0,548.46,6279.0,1
30.35,77.1,548.54,6279.0,1
30.36,77.05,548.24,6279.0,1
30.36,77.14,548.48,6262.0,1
30.35,77.12,548.55,6288.0,1
30.36,77.1,548.73,6280.0,1
30.35,77.15,548.96,6273.0,1
30.36,77.09,549.11,6265.0,1
30.35,77.13,548.43,6242.0,1
30.38,77.16,548.37,6234.0,1
30.36,77.14,548.36,6227.0,1
30.36,77.1,548.53,6219.0,1
30.36,77.11,548.51,6228.0,1
30.36,77.1,548.28,6212.0,1
30.38,77.07,547.97,6203.0,1
30.38,77.11,547.71,6194.0,1
30.36,77.07,547.58,6210.0,1
30.38,77.05,547.58,6210.0,1
30.38,77.05,547.47,6210.0,1
30.38,77.08,548.05,6194.0,1
30.39,77.02,547.39,6178.0,1
30.36,77.04,547.05,6178.0,1
30.38,77.08,546.63,6187.0,1
30.41,77.07,546.53,6170.0,1
30.41,77.06,546.24,6163.0,1
30.41,77.11,545.96,6172.0,1
30.39,77.09,546.08,6181.0,1
30.39,77.06,546.11,6164.0,1
30.39,77.08,546.01,6190.0,1
30.41,77.05,545.99,6173.0,1
30.42,77.06,545.78,6173.0,1
30.39,77.02,545.52,6190.0,1
30.39,77.04,545.59,6206.0,1
30.41,77.0,545.2,6206.0,1
30.42,76.99,545.37,6197.0,1
30.42,77.01,545.01,6197.0,1
30.39,77.0,544.93,6214.0,1
30.41,77.02,545.58,6230.0,1
30.41,76.99,545.31,6221.0,1
30.42,76.99,545.64,6228.0,1
30.41,76.95,545.18,6236.0,1
30.42,76.96,545.36,6252.0,1
30.44,76.92,545.47,6227.0,1
30.44,76.88,546.08,6243.0,1
30.44,76.86,546.27,6234.0,1
30.45,76.88,546.44,6267.0,1
30.42,76.84,545.99,6242.0,1
30.45,76.88,545.85,6251.0,1
30.44,76.87,545.81,6251.0,1
30.44,76.9,545.63,6234.0,1
30.45,76.87,545.55,6243.0,1
30.44,76.89,545.82,6243.0,1
30.45,76.87,545.49,6243.0,1
30.44,76.81,545.47,6218.0,1
30.48,76.86,545.5,6218.0,1
30.45,76.8,545.39,6227.0,1
30.45,76.82,545.08,6194.0,1
30.45,76.79,545.07,6203.0,1
30.45,76.8,545.03,6187.0,1
30.47,76.82,544.64,6170.0,1
30.47,76.84,544.59,6179.0,1
30.47,76.79,544.42,6146.0,1
30.47,76.81,544.48,6130.0,1
30.47,76.81,544.29,6130.0,1
30.45,76.78,543.76,6113.0,1
30.47,76.82,543.59,6097.0,1
30.47,76.81,543.5,6090.0,1
30.48,76.74,543.77,6073.0,1
30.47,76.68,543.31,6066.0,1
30.51,76.72,543.21,6033.0,1
30.48,76.67,543.03,6025.0,1
30.47,76.69,542.88,5993.0,1
30.49,76.68,542.6,6002.0,1
30.49,76.68,542.43,5969.0,1
30.48,76.63,542.58,5961.0,1
30.49,76.61,542.6,5928.0,1
30.52,76.61,542.9,5912.0,1
30.49,76.61,542.76,5905.0,1
30.52,76.56,542.86,5872.0,1
30.51,76.6,543.46,5848.0,1
30.52,76.58,543.46,5840.0,1
30.52,76.59,543.31,5808.0,1
30.54,76.58,543.44,5784.0,1
30.51,76.61,543.19,5760.0,1
30.54,76.64,543.66,5736.0,1
30.52,76.58,543.8,5729.0,1
30.54,76.58,544.12,5696.0,1
30.54,76.61,543.96,5688.0,1
30.52,76.59,544.56,5681.0,1
30.51,76.61,544.35,5648.0,1
30.52,76.58,544.52,5641.0,1
30.54,76.55,544.09,5633.0,1
30.52,76.51,544.06,5617.0,1
30.54,76.51,543.95,5609.0,1
30.55,76.5,543.64,5593.0,1
30.52,76.45,543.47,5577.0,1
30.52,76.46,543.24,5586.0,1
30.54,76.45,543.17,5569.0,1
30.55,76.46,542.96,5569.0,1
30.54,76.37,542.27,5553.0,1
30.55,76.41,542.4,5553.0,1
30.55,76.38,542.36,5553.0,1
30.55,76.44,543.12,5553.0,1
30.58,76.45,543.19,5536.0,1
30.55,76.42,542.72,5536.0,1
30.55,76.46,543.25,5520.0,1
30.55,76.47,543.48,5520.0,1
30.55,76.42,543.37,5503.0,1
30.59,76.39,543.8,5487.0,1
30.56,76.37,543.74,5471.0,1
30.54,76.39,543.4,5480.0,1
30.58,76.42,543.23,5447.0,1
30.58,76.41,543.47,5439.0,1
30.58,76.39,543.31,5423.0,1
30.58,76.42,543.57,5415.0,1
30.58,76.42,543.51,5408.0,1
30.59,76.47,543.67,5375.0,1
30.59,76.37,543.77,5368.0,1
30.58,76.42,543.68,5335.0,1
30.58,76.43,544.15,5318.0,1
30.61,76.38,544.16,5311.0,1
30.58,76.36,544.09,5304.0,1
30.61,76.33,544.41,5271.0,1
30.59,76.34,544.48,5263.0,1
30.59,76.27,544.43,5240.0,1
30.61,76.32,544.21,5232.0,1
30.61,76.33,544.46,5216.0,1
30.59,76.35,544.75,5208.0,1
30.62,76.34,545.29,5192.0,1
30.61,76.26,545.35,5175.0,1
30.63,76.27,545.14,5184.0,1
30.62,76.31,544.94,5152.0,1
30.63,76.3,544.87,5161.0,1
30.62,76.32,545.33,5144.0,1
30.63,76.34,545.25,5128.0,1
30.63,76.35,545.23,5137.0,1
30.63,76.33,545.5,5120.0,1
30.65,76.35,545.74,5104.0,1
30.63,76.33,545.9,5087.0,1
30.65,76.28,545.51,5080.0,1
30.65,76.31,545.14,5064.0,1
30.63,76.31,545.38,5056.0,1
30.65,76.35,545.65,5049.0,1
30.63,76.35,545.68,5032.0,1
30.65,76.39,545.4,5025.0,1
30.65,76.33,545.77,5009.0,1
30.65,76.36,545.61,5001.0,1
30.65,76.27,545.25,4985.0,1
30.66,76.25,545.01,4985.0,1
30.66,76.29,544.74,4994.0,1
30.65,76.28,544.39,4977.0,1
30.66,76.32,544.48,4961.0,1
30.66,76.31,544.07,4953.0,1
30.66,76.32,543.92,4955.0,1
30.68,76.34,543.75,4931.0,1
30.68,76.33,543.47,4907.0,1
30.66,76.31,543.07,4909.0,1
30.7,76.33,542.9,4885.0,1
30.66,76.3,542.61,4887.0,1
30.66,76.26,542.84,4863.0,1
30.68,76.29,542.89,4848.0,1
30.68,76.29,542.79,4824.0,1
30.69,76.27,542.87,4810.0,1
30.72,76.29,542.73,4795.0,1
30.69,76.28,542.36,4780.0,1
30.69,76.23,542.12,4740.0,1
30.69,76.23,541.68,4708.0,1
30.7,76.25,541.51,4694.0,1
30.7,76.26,541.12,4662.0,1
30.69,76.28,541.2,4631.0,1
30.7,76.26,541.74,4600.0,1
30.69,76.25,542.03,4552.0,1
30.7,76.27,541.5,4514.0,1
30.7,76.28,541.62,4475.0,1
30.72,76.23,541.5,4453.0,1
30.7,76.24,541.05,4405.0,1
30.72,76.17,541.17,4383.0,1
30.69,76.18,540.82,4335.0,1
30.72,76.12,540.34,4304.0,1
30.7,76.08,539.74,4256.0,1
30.73,76.12,539.79,4241.0,1
30.73,76.16,539.81,4210.0,1
30.7,76.19,539.61,4195.0,1
30.72,76.16,539.44,4180.0,1
30.72,76.15,539.45,4140.0,1
30.72,76.14,539.45,4125.0,1
30.7,76.14,539.42,4102.0,1
30.76,76.11,539.72,4078.0,1
30.72,76.1,539.93,4063.0,1
30.73,76.15,540.49,4039.0,1
30.73,76.14,540.09,4015.0,1
30.7,76.14,539.86,4017.0,1
30.72,76.14,539.8,4009.0,1
30.73,76.13,540.03,3986.0,1
30.73,76.12,539.79,3978.0,1
30.73,76.13,539.67,3971.0,1
30.76,76.09,539.39,3938.0,1
30.76,76.12,539.42,3931.0,1
30.73,76.0,539.06,3940.0,1
30.76,75.97,538.98,3907.0,1
30.75,76.0,538.69,3916.0,1
30.73,75.96,538.57,3899.0,1
30.75,75.92,538.73,3908.0,1
30.73,75.9,538.9,3892.0,1
30.75,75.89,539.35,3901.0,1
30.75,75.96,539.33,3901.0,1
30.75,75.98,539.34,3884.0,1
30.75,76.0,538.9,3884.0,1
30.76,75.98,538.95,3884.0,1
30.75,75.95,538.69,3884.0,1
30.75,75.97,538.59,3884.0,1
30.75,75.96,538.19,3901.0,1
30.73,75.98,537.96,3901.0,1
30.75,75.97,538.21,3917.0,1
30.76,75.97,538.04,3908.0,1
30.75,75.95,538.12,3925.0,1
30.76,75.97,538.63,3941.0,1
30.75,75.98,538.31,3932.0,1
30.76,75.94,538.31,3949.0,1
30.75,75.93,538.83,3940.0,1
30.75,75.91,538.49,3956.0,1
30.76,75.92,538.15,3963.0,1
30.76,75.97,537.73,3954.0,1
30.76,75.9,537.73,3971.0,1
30.76,75.92,537.69,3978.0,1
30.76,75.95,538.13,3969.0,1
30.78,75.95,538.1,4002.0,1
30.75,75.91,538.13,3993.0,1
30.78,75.95,538.06,4000.0,1
30.76,75.91,538.25,4008.0,1
30.78,75.9,538.0,4015.0,1
30.76,75.95,537.68,4039.0,1
30.78,75.94,537.44,4046.0,1
30.75,75.93,537.28,4070.0,1
30.76,75.9,537.34,4052.0,1
30.76,75.92,536.94,4076.0,1
30.78,75.95,536.79,4116.0,1
30.78,75.94,536.33,4115.0,1
30.79,75.99,536.64,4139.0,1
30.78,76.01,536.46,4153.0,1
30.79,76.01,536.93,4177.0,1
30.79,75.99,536.83,4192.0,1
30.78,76.0,537.05,4232.0,1
30.78,75.99,537.18,4247.0,1
30.79,76.02,536.77,4287.0,1
30.79,76.0,536.98,4286.0,1
30.78,75.97,536.64,4326.0,1
30.78,75.99,536.67,4324.0,1
30.79,76.02,536.55,4365.0,1
30.78,76.0,536.58,4363.0,1
30.78,76.01,537.2,4387.0,1
30.79,75.99,536.65,4411.0,1
30.79,76.01,536.81,4435.0,1
30.79,75.97,537.02,4458.0,1
30.78,75.95,536.75,4482.0,1
30.79,75.97,536.48,4490.0,1
30.8,75.97,536.01,4514.0,1
30.79,76.01,536.5,4521.0,1
30.79,75.94,536.6,4528.0,1
30.79,75.97,536.81,4536.0,1
30.8,75.93,536.61,4569.0,1
30.8,75.98,536.72,4576.0,1
30.79,75.97,536.32,4583.0,1
30.8,75.91,536.2,4591.0,1
30.82,75.9,536.15,4624.0,1
30.82,75.92,535.83,4631.0,1
30.82,75.88,536.25,4622.0,1
30.8,75.9,536.61,4655.0,1
30.8,75.83,537.02,4662.0,1
30.8,75.86,536.93,4679.0,1
30.8,75.9,537.34,4686.0,1
30.82,75.92,537.78,4677.0,1
30.8,75.83,537.58,4710.0,1
30.8,75.76,537.35,4701.0,1
30.8,75.71,537.33,4734.0,1
30.83,75.71,537.42,4725.0,1
30.85,75.69,537.49,4741.0,1
30.82,75.76,537.56,4749.0,1
30.82,75.79,537.72,4765.0,1
30.82,75.8,537.58,4773.0,1
30.82,75.8,537.86,4789.0,1
30.83,75.82,537.76,4796.0,1
30.86,75.85,538.01,4813.0,1
30.83,75.87,538.22,4820.0,1
30.83,75.81,538.41,4811.0,1
30.83,75.82,538.15,4844.0,1
30.83,75.82,538.37,4851.0,1
30.85,75.8,538.67,4875.0,1
30.83,75.76,538.42,4883.0,1
30.83,75.79,538.12,4881.0,1
30.85,75.76,538.07,4888.0,1
30.85,75.74,538.04,4896.0,1
30.85,75.78,538.2,4929.0,1
30.82,75.75,538.35,4945.0,1
30.83,75.75,538.41,4936.0,1
30.86,75.78,538.45,4953.0,1
30.86,75.76,538.58,4960.0,1
30.83,75.74,538.36,4967.0,1
30.86,75.74,538.13,4991.0,1
30.86,75.75,538.73,4999.0,1
30.85,75.68,538.92,5015.0,1
30.86,75.71,538.67,5031.0,1
30.85,75.72,538.87,5022.0,1
30.85,75.72,539.36,5055.0,1
30.86,75.75,539.34,5063.0,1
30.87,75.66,539.07,5070.0,1
30.85,75.69,539.07,5078.0,1
30.86,75.68,538.65,5101.0,1
30.86,75.67,538.64,5125.0,1
30.87,75.65,538.7,5124.0,1
30.86,75.67,538.69,5147.0,1
30.87,75.65,538.71,5179.0,1
30.9,75.7,538.88,5194.0,1
30.87,75.66,538.49,5201.0,1
30.86,75.67,538.25,5225.0,1
30.87,75.68,538.18,5249.0,1
30.87,75.6,538.43,5263.0,1
30.86,75.64,538.58,5304.0,1
30.89,75.66,538.92,5318.0,1
30.86,75.65,538.92,5342.0,1
30.87,75.68,538.89,5357.0,1
30.9,75.75,538.77,5397.0,1
30.89,75.71,538.46,5379.0,1
30.87,75.7,538.08,5429.0,1
30.89,75.66,538.12,5420.0,1
30.89,75.65,538.34,5436.0,1
30.9,75.6,538.22,5452.0,1
30.9,75.62,538.08,5478.0,1
30.91,75.56,537.42,5478.0,1
30.89,75.59,537.4,5487.0,1
30.9,75.57,537.5,5487.0,1
30.89,75.53,537.48,5471.0,1
30.9,75.54,537.37,5480.0,1
30.9,75.56,537.55,5489.0,1
30.89,75.51,538.04,5481.0,1
30.9,75.48,537.86,5474.0,1
30.9,75.5,538.38,5457.0,1
30.91,75.46,538.75,5450.0,1
30.9,75.48,539.05,5452.0,1
30.93,75.43,539.19,5420.0,1
30.9,75.36,539.29,5406.0,1
30.9,75.36,539.89,5382.0,1
30.9,75.42,539.82,5358.0,1
30.91,75.4,540.46,5350.0,1
30.9,75.44,540.46,5343.0,1
30.93,75.43,540.5,5336.0,1
30.93,75.37,540.91,5312.0,1
30.93,75.36,540.88,5272.0,1
30.9,75.36,540.64,5266.0,1
30.93,75.42,540.57,5227.0,1
30.93,75.39,540.49,5205.0,1
30.9,75.37,539.99,5157.0,1
30.93,75.36,540.19,5142.0,1
30.94,75.37,540.92,5111.0,1
30.93,75.36,540.32,5080.0,1
30.91,75.39,539.87,5065.0,1
30.91,75.36,539.38,5034.0,1
30.93,75.38,539.08,4994.0,1
30.94,75.38,538.82,4962.0,1
30.93,75.42,538.93,4948.0,1
30.94,75.42,538.81,4924.0,1
30.91,75.38,538.88,4900.0,1
30.94,75.42,538.96,4892.0,1
30.97,75.43,539.12,4869.0,1
30.93,75.44,538.83,4861.0,1
30.96,75.43,538.94,4828.0,1
30.93,75.36,538.86,4837.0,1
30.93,75.39,539.04,4821.0,1
30.94,75.37,538.92,4830.0,1
30.97,75.38,538.72,4830.0,1
30.94,75.35,538.72,4830.0,1
30.93,75.36,539.16,4830.0,1
30.96,75.34,539.16,4830.0,1
30.96,75.34,539.03,4855.0,1
30.94,75.38,539.0,4855.0,1
30.94,75.39,539.13,4855.0,1
30.96,75.37,538.81,4855.0,1
30.96,75.35,538.82,4839.0,1
30.94,75.36,539.0,4848.0,1
30.94,75.39,539.01,4832.0,1
30.93,75.33,539.18,4841.0,1
30.96,75.35,539.27,4808.0,1
30.99,75.36,539.01,4817.0,1
30.97,75.32,539.29,4809.0,1
30.96,75.36,539.34,4802.0,1
30.96,75.35,539.64,4769.0,1
30.97,75.36,539.93,4762.0,1
30.99,75.37,540.19,4754.0,1
30.97,75.33,540.14,4738.0,1
30.97,75.31,540.38,4730.0,1
30.97,75.31,540.32,4714.0,1
30.96,75.28,541.03,4723.0,1
30.97,75.31,540.9,4723.0,1
30.94,75.32,540.74,4723.0,1
30.99,75.3,540.62,4723.0,1
30.97,75.25,540.47,4723.0,1
31.0,75.24,540.49,4723.0,1
30.99,75.27,540.56,4723.0,1
30.99,75.31,540.82,4739.0,1
30.97,75.34,541.06,4739.0,1
30.97,75.34,540.89,4739.0,1
30.99,75.37,541.36,4739.0,1
31.0,75.37,541.51,4739.0,1
30.97,75.36,541.45,4739.0,1
30.97,75.33,541.62,4739.0,1
31.0,75.36,541.77,4723.0,1
30.99,75.29,541.88,4732.0,1
30.97,75.27,541.55,4716.0,1
30.99,75.24,542.02,4725.0,1
31.0,75.28,542.16,4708.0,1
31.0,75.28,541.73,4701.0,1
31.0,75.29,541.72,4668.0,1
31.01,75.31,541.56,4661.0,1
31.03,75.25,541.32,4653.0,1
30.99,75.27,541.12,4620.0,1
31.0,75.3,541.36,4613.0,1
31.0,75.27,541.21,4605.0,1
31.01,75.2,541.04,4573.0,1
30.99,75.19,540.95,4582.0,1
31.0,75.22,540.94,4549.0,1
31.0,75.25,540.8,4558.0,1
31.03,75.19,541.1,4541.0,1
31.01,75.16,540.99,4525.0,1
31.01,75.2,540.9,4534.0,1
31.01,75.21,540.82,4517.0,1
31.01,75.22,540.57,4517.0,1
31.01,75.19,540.21,4492.0,1
31.03,75.22,539.86,4492.0,1
30.99,75.25,539.69,4508.0,1
31.05,75.26,538.94,4525.0,1
31.01,75.26,538.76,4516.0,1
31.01,75.26,538.87,4516.0,1
31.03,75.32,539.18,4507.0,1
31.01,75.31,538.89,4523.0,1
31.01,75.32,538.73,4540.0,1
31.05,75.36,538.93,4531.0,1
31.01,75.33,539.19,4547.0,1
31.06,75.34,539.16,4564.0,1
31.01,75.22,539.63,4555.0,1
31.03,75.24,539.89,4571.0,1
31.03,75.24,539.68,4562.0,1
31.01,75.2,539.51,4569.0,1
31.01,75.24,539.13,4602.0,1
31.03,75.13,538.89,4593.0,1
31.01,75.13,538.92,4601.0,1
31.05,75.12,539.31,4608.0,1
31.03,75.16,539.31,4632.0,1
31.05,75.15,539.6,4665.0,1
31.03,75.13,539.73,4663.0,1
31.01,75.15,539.79,4687.0,1
31.03,75.17,539.4,4711.0,1
31.03,75.18,539.3,4735.0,1
31.01,75.18,539.1,4749.0,1
31.03,75.17,538.96,4790.0,1
31.01,75.19,538.91,4805.0,1
31.03,75.18,538.82,4845.0,1
31.03,75.18,538.62,4860.0,1
31.01,75.16,538.31,4891.0,1
31.03,75.19,538.34,4931.0,1
31.03,75.17,538.41,4962.0,1
31.03,75.17,538.68,4994.0,1
31.05,75.15,538.17,5025.0,1
31.03,75.18,538.06,5073.0,1
31.03,75.19,537.88,5095.0,1
31.03,75.13,538.15,5142.0,1
31.05,75.15,537.61,5190.0,1
31.06,75.09,537.77,5229.0,1
31.03,75.04,537.55,5284.0,1
31.03,75.0,537.49,5345.0,1
31.06,75.04,536.97,5398.0,1
31.05,74.98,537.0,5437.0,1
31.05,75.01,537.24,5484.0,1
31.05,75.02,537.3,5540.0,1
31.05,75.07,537.23,5593.0,1
31.03,75.07,536.89,5679.0,1
31.06,75.08,536.96,5725.0,1
31.05,75.09,537.12,5780.0,1
31.06,75.11,537.38,5819.0,1
31.07,75.13,537.59,5867.0,1
31.05,75.11,537.38,5915.0,1
31.06,75.08,537.56,5988.0,1
31.06,75.16,537.38,6019.0,1
31.06,75.13,537.46,6059.0,1
31.05,75.16,537.23,6099.0,1
31.03,75.11,537.08,6140.0,1
31.06,75.1,537.34,6155.0,1
31.06,75.11,537.36,6211.0,1
31.09,75.11,536.94,6252.0,1
31.07,75.11,536.76,6292.0,1
31.06,75.13,537.01,6307.0,1
31.06,75.08,537.08,6347.0,1
31.07,75.06,537.04,6380.0,1
31.1,75.1,537.11,6404.0,1
31.07,75.06,537.58,6444.0,1
31.07,75.11,537.46,6484.0,1
